Type,Latitude,Longitude
Library,-27.50948,153.033338
Library,-27.444473,152.987317
Library,-27.374559,153.078214
Library,-27.31869,153.038075
Library,-27.470772,153.022319
Library,-27.45209,153.06281
Library,-27.49369,153.089761
Library,-27.501358,153.101917
Library,-27.386329,153.035194
Library,-27.564974,153.03955
Library,-27.538956,152.981515
Library,-27.405409,152.990407
Library,-27.509299,153.026449
Library,-27.562594,153.081563
Library,-27.425266,153.017813
Library,-27.437927,153.06428
Library,-27.523358,153.072525
Library,-27.597627,152.974295
Library,-27.498831,152.972278
Library,-27.506073,152.939041
Library,-27.417233,152.978229
Library,-27.475265,152.97627
Library,-27.538261,153.080403
Library,-27.549505,152.939147
Library,-27.466767,153.049853
Library,-27.400956,153.058022
Library,-27.320864,153.069805
Library,-27.498051,153.043819
Library,-27.610938,153.055362
Library,-27.484803,152.992512
Library,-27.482328,153.012125
Library,-27.443054,153.172974
Library,-27.359686,153.040633
Schools,-23.338394,150.537313
Schools,-28.036607,151.98635
Schools,-27.320777,153.007607
Schools,-25.317486,152.852427
Schools,-27.718441,153.199219
Schools,-27.518771,153.019927
Schools,-27.927513,153.176347
Schools,-20.009556,148.243299
Schools,-27.430843,153.030216
Schools,-27.481846,152.989087
Schools,-27.20442,153.109623
Schools,-27.496103,152.913087
Schools,-27.453114,153.065005
Schools,-24.869679,152.34814
Schools,-27.611463,152.804598
Schools,-24.004108,151.202766
Schools,-22.8368,147.632798
Schools,-27.528484,153.270686
Schools,-27.516519,153.258213
Schools,-26.924923,150.135035
Schools,-27.579403,153.01462
Schools,-26.488248,147.9712
Schools,-27.184945,151.262294
Schools,-27.72142,151.96184
Schools,-27.602645,151.911411
Schools,-23.302299,150.730843
Schools,-27.421441,153.073632
Schools,-27.593239,153.109127
Schools,-27.417145,152.994134
Schools,-27.526844,152.965307
Schools,-25.546752,152.70367
Schools,-27.744816,153.319418
Schools,-28.13485,152.137363
Schools,-27.559812,152.278538
Schools,-25.624269,151.605787
Schools,-27.402548,153.058168
Schools,-23.842002,151.257812
Schools,-27.606637,152.893742
Schools,-28.543435,150.307635
Schools,-23.435617,150.453833
Schools,-26.188259,152.664744
Schools,-28.039679,153.31101
Schools,-26.1996,152.675328
Schools,-27.554884,152.126044
Schools,-27.462239,151.956818
Schools,-27.407089,151.99626
Schools,-28.416453,151.07671
Schools,-23.563935,150.471057
Schools,-25.992346,152.559953
Schools,-27.621414,152.769039
Schools,-27.383311,153.016685
Schools,-27.602126,152.763022
Schools,-27.575961,153.051813
Schools,-24.260126,144.440021
Schools,-27.373315,151.585072
Schools,-27.927501,153.39708
Schools,-23.375744,150.560276
Schools,-28.01341,151.579369
Schools,-27.714303,153.114193
Schools,-27.686275,153.180808
Schools,-21.145246,149.182122
Schools,-25.535521,152.699914
Schools,-27.569111,152.877131
Schools,-19.700739,147.346424
Schools,-25.182083,151.642869
Schools,-27.459089,152.051649
Schools,-26.67205,152.005045
Schools,-27.531508,152.983417
Schools,-27.563966,152.98083
Schools,-27.459964,153.00977
Schools,-27.817322,153.27773
Schools,-11.965247,141.884106
Schools,-27.595624,151.969013
Schools,-27.508335,152.929433
Schools,-27.779277,152.73141
Schools,-27.64791,152.851517
Schools,-27.566884,152.277481
Schools,-27.617991,153.092969
Schools,-24.462666,148.624401
Schools,-27.376329,152.881273
Schools,-26.714139,153.059897
Schools,-26.748916,152.845623
Schools,-22.587139,148.346661
Schools,-21.081573,149.185652
Schools,-27.643076,153.152733
Schools,-27.430845,153.030212
Schools,-22.949601,148.928774
Schools,-24.11555,148.087098
Schools,-22.345084,149.52922
Schools,-25.639101,149.801055
Schools,-27.591972,152.236244
Schools,-25.728547,152.580366
Schools,-27.500611,152.996097
Schools,-27.556675,151.948737
Schools,-27.302164,151.852659
Schools,-19.25115,146.811829
Schools,-27.571706,152.629056
Schools,-27.656562,152.750369
Schools,-28.217477,152.029726
Schools,-25.159117,152.212041
Schools,-27.493415,153.027742
Schools,-23.617231,150.154429
Schools,-27.533492,151.912187
Schools,-27.892995,152.974105
Schools,-27.765051,153.106533
Schools,-27.868421,153.315643
Schools,-27.106571,152.947001
Schools,-27.562744,151.902395
Schools,-27.474132,153.126695
Schools,-27.556435,153.079838
Schools,-23.484438,150.32029
Schools,-27.695536,153.145257
Schools,-27.643654,152.592754
Schools,-28.649844,151.933944
Schools,-27.378886,153.050738
Schools,-28.038029,148.580728
Schools,-23.253163,150.675538
Schools,-18.26865,146.030532
Schools,-27.532878,152.895317
Schools,-20.103715,146.889783
Schools,-27.154888,149.067199
Schools,-27.542164,153.106108
Schools,-26.573807,148.787681
Schools,-27.665608,152.465311
Schools,-27.939455,151.813028
Schools,-27.514872,152.631878
Schools,-24.884918,146.253227
Schools,-28.198089,152.215517
Schools,-27.770179,152.651858
Schools,-27.320642,153.065687
Schools,-27.783091,151.943884
Schools,-23.391708,150.503742
Schools,-20.088952,146.275146
Schools,-27.988829,153.002519
Schools,-28.086849,153.347618
Schools,-27.82835,153.178574
Schools,-24.852304,152.340355
Schools,-27.253416,153.0812
Schools,-28.341292,152.297358
Schools,-27.246573,153.108783
Schools,-18.203217,142.24931
Schools,-27.439283,151.720723
Schools,-16.461767,145.373994
Schools,-26.087128,152.241604
Schools,-27.446906,152.644055
Schools,-19.783769,147.226538
Schools,-23.88015,151.222573
Schools,-23.606187,148.54558
Schools,-26.409138,153.029226
Schools,-27.877698,151.265702
Schools,-15.481863,145.250958
Schools,-18.294551,143.547234
Schools,-27.430431,151.904921
Schools,-27.181391,152.949329
Schools,-26.390041,153.03238
Schools,-26.584073,149.185949
Schools,-27.267947,152.972207
Schools,-21.68989,148.689757
Schools,-26.404865,146.241913
Schools,-27.448058,152.977437
Schools,-27.491511,148.326592
Schools,-27.346149,152.970755
Schools,-27.194406,152.820049
Schools,-27.571782,153.067016
Schools,-25.538713,152.714708
Schools,-28.073908,153.376585
Schools,-27.709023,151.866475
Schools,-27.533515,153.07227
Schools,-27.247743,152.425994
Schools,-28.139992,153.430151
Schools,-15.857105,144.857307
Schools,-23.544742,148.158542
Schools,-23.604175,146.129136
Schools,-27.459491,153.027559
Schools,-23.413242,150.514108
Schools,-19.247665,146.673308
Schools,-27.480277,153.008009
Schools,-18.583458,146.284909
Schools,-20.079896,146.263415
Schools,-25.558592,152.66775
Schools,-25.603854,152.590998
Schools,-27.988444,153.338259
Schools,-27.494847,153.061382
Schools,-28.157931,145.050127
Schools,-26.684509,153.053417
Schools,-27.583764,152.777154
Schools,-28.214634,152.038498
Schools,-27.502752,153.115276
Schools,-27.403128,152.929301
Schools,-27.432033,153.004101
Schools,-27.61867,153.2928
Schools,-23.959622,151.365041
Schools,-20.74156,139.500376
Schools,-27.594949,153.288058
Schools,-16.90574,145.74217
Schools,-25.501913,152.710132
Schools,-27.191031,153.029347
Schools,-27.533857,152.523892
Schools,-28.110394,153.463208
Schools,-20.360129,145.65678
Schools,-27.465821,152.581785
Schools,-15.295194,145.108213
Schools,-26.740669,150.626385
Schools,-27.798024,152.371982
Schools,-27.619052,152.784514
Schools,-27.401753,152.94406
Schools,-17.373755,145.378212
Schools,-27.46818,153.173511
Schools,-27.110745,152.924212
Schools,-23.645771,149.330138
Schools,-27.550919,152.807199
Schools,-27.870072,153.306888
Schools,-26.453259,153.03325
Schools,-27.486907,152.546057
Schools,-28.074373,153.352845
Schools,-27.490834,153.239349
Schools,-13.353032,141.729393
Schools,-27.36477,153.037452
Schools,-27.554507,152.929351
Schools,-24.845894,152.397098
Schools,-27.677651,153.235185
Schools,-24.935076,152.175705
Schools,-28.039801,153.417729
Schools,-27.398492,153.070915
Schools,-27.621094,153.237496
Schools,-27.60605,152.661749
Schools,-27.449371,152.951404
Schools,-19.304544,146.722627
Schools,-28.071361,145.679173
Schools,-16.666371,139.183349
Schools,-26.053304,151.82931
Schools,-27.265185,152.051137
Schools,-27.554245,152.543413
Schools,-28.295071,152.248805
Schools,-27.432947,153.056093
Schools,-27.491476,151.891923
Schools,-24.992419,151.954785
Schools,-24.425596,145.470046
Schools,-23.807569,150.974215
Schools,-27.705589,153.170645
Schools,-19.263025,146.826783
